url,status,title,meta_description,content_type,error
https://www.twstackle.com/,200,TW's Bait &amp; Tackle,,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments,200,Categories,You may purchase eGift Cards on our site with this link: Purchase eGift Card&amp;nbsp;- use eGift Cards online or at the Nags Head Store #content_wrap &gt; .container{display: none},text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/adult-life-jacket-|65|65G|065190.html,200,ADULT LIFE JACKET,,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/all-coozies-|75|75B|075107.html,200,ALL COOZIES,,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/all-other-drinkware-|75|75B|075106.html,200,ALL OTHER DRINKWARE,,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/all-other-storage--amp--carry-bags-|75|75C|075124.html,200,ALL OTHER STORAGE &amp; CARRY BAGS,,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/anchoring--rope--amp--docking-|65|65H|065213.html,200,"ANCHORING, ROPE &amp; DOCKING",,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/apparel--amp--footwear-%7C35.html,200,APPAREL &amp; FOOTWEAR,,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/apparel--amp--footwear-|35.html,200,APPAREL &amp; FOOTWEAR,,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/attractants--amp--cures-|25|25D|025131.html,200,ATTRACTANTS &amp; CURES,,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/backpack-coolers-|75|75A|075002.html,200,BACKPACK COOLERS,,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/bait--lures--amp--attractants-|25|25D.html,200,"BAIT, LURES &amp; ATTRACTANTS",,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/bait-alternatives-|25|25D|025130.html,200,BAIT ALTERNATIVES,,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/bajio-|45|45A|045008.html,200,BAJIO,,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/beach--patio--amp--houseware-|95|95F.html,200,"BEACH, PATIO &amp; HOUSEWARE",,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/binoculars-|55|55A|055005.html,200,BINOCULARS,,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/blinds--stands--covers--amp--chairs-|55|55E|055153.html,200,"BLINDS, STANDS, COVERS &amp; CHAIRS",,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/boat-accessories-|65|65H.html,200,BOAT ACCESSORIES,,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/boat-flags-|65|65H|065219.html,200,BOAT FLAGS,,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/boating--amp--kayaking-%7C65.html,200,BOATING &amp; KAYAKING,,text/html; charset=iso-8859-1,
